Document ID,Document,Time,Tokens to Annotate,Params,Number of Params
106,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Alan_Parsons_Project_You_Lie_Down_With_Dogs.txt"")",2.5543949604034424,1448,coref,1
107,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Aled_Jones_In_The_Bleak_Midwinter.txt"")",0.9687759876251221,726,coref,1
108,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Alice_Cooper_Department_Of_Youth.txt"")",1.4999568462371826,961,coref,1
109,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Alice_Cooper_Die_For_You.txt"")",3.156261444091797,1263,coref,1
110,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Alice_Cooper_Dirty_Diamonds.txt"")",3.406059980392456,1681,coref,1
111,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Alice_Cooper_Enoughs_Enough.txt"")",3.406217575073242,1684,coref,1
112,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Alice_Cooper_Ghouls_Gone_Wild.txt"")",3.7955963611602783,1921,coref,1
113,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Alice_Cooper_Give_The_Radio_Back.txt"")",1.803602695465088,1064,coref,1
114,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Alice_Cooper_Hurricane_Years.txt"")",1.929067850112915,1087,coref,1
115,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Alice_Cooper_I_Am_The_Future.txt"")",1.6428723335266113,1140,coref,1
